timestamp,title,description,event_type,impact_direction,severity,confidence,affected_sectors,mapped_assets
2020-10-02T08:30:00-04:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.6000 versus a rolling baseline of 0.8167, creating a macro surprise of -1.4167.",economic_data,positive,critical,0.95,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2020-10-13T08:30:00-04:00,CPI runs above trend,"CPI moved by 0.0026 versus a rolling baseline of 0.0001, creating a macro surprise of 0.0026.",inflation,negative,medium,0.76,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2020-11-06T08:30:00-05:00,Unemployment rate runs below trend,"Unemployment rate moved by -0.9000 versus a rolling baseline of 0.5667, creating a macro surprise of -1.4667.",economic_data,positive,critical,0.95,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2020-12-04T08:30:00-05:00,Unemployment rate runs above trend,"Unemployment rate moved by -0.2000 versus a rolling baseline of -1.3167, creating a macro surprise of 1.1167.",economic_data,negative,critical,0.95,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2021-01-08T08:30:00-05:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.0000 versus a rolling baseline of -1.0833, creating a macro surprise of 1.0833.",economic_data,negative,critical,0.95,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2021-02-05T08:30:00-05:00,Unemployment rate runs above trend,"Unemployment rate moved by -0.3000 versus a rolling baseline of -0.7167, creating a macro surprise of 0.4167.",economic_data,negative,critical,0.95,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2021-03-05T08:30:00-05:00,Unemployment rate runs above trend,"Unemployment rate moved by -0.2000 versus a rolling baseline of -0.6333, creating a macro surprise of 0.4333.",economic_data,negative,critical,0.95,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2021-04-02T08:30:00-04:00,Unemployment rate runs above trend,"Unemployment rate moved by -0.1000 versus a rolling baseline of -0.3667, creating a macro surprise of 0.2667.",economic_data,negative,high,0.87,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2021-04-13T08:30:00-04:00,CPI runs above trend,"CPI moved by 0.0052 versus a rolling baseline of 0.0027, creating a macro surprise of 0.0025.",inflation,negative,medium,0.75,broad_market;technology;rates,SPY;QQQ;TLT;GLD
2021-05-07T08:30:00-04:00,Unemployment rate runs above trend,"Unemployment rate moved by 0.0000 versus a rolling baseline of -0.2833, creating a macro surprise of 0.2833.",economic_data,negative,high,0.89,broad_market;technology;rates,SPY;QQQ;IWM;TLT
2021-05-12T08:30:00-04:00,CPI runs above trend,"CPI moved by 0.0062 versus a rolling baseline of 0.0032, creating a macro surprise of 0.0031.",inflation,negative,high,0.80,broad_market;technology;rates,SPY;QQQ;TLT;GLD
